reference_link,reference_name,reference_code,reference_address,reference_contact,reference_eadd
FINANCE,ACCOUNTING,ACCTG,,,
SUPP,ACQUISITION,ACQ,,,
CONSTRUCTION,ADMIN,ADMIN,,,
MKTG,ADMIN,ADMIN,,,
LEGAL,ADMIN,ADMIN,,,
FINANCE,ADMIN,ADMIN,,,
GREENWEALTH,BLDG. ADMIN,BLDG. ADMIN,,,
SUPPORT,BLDG. ADMIN,BLDG. ADMIN,,,
CONSTRUCTION,CCMO,CCMO,,,
WFC,COLLECTION,C2,,,
FINANCE,COLLECTION,C2,,,
CONSTRUCTION,CQC,CQC,,,
MKTG,CUSTOMER SERVICE REPRESENTATIVE,CSR,,,
HR,EMPLOYEE SERVICES,ES,,,
HR,ORGANIZATIONAL DEVELOPMENT,OD,,,
HR,RECRUITMENT & SELECTION,RECRUITMENT,,,
HR,HEALTH & SAFETY,H&S,,,
HR,TRAINING,TRAINING,,,
SUPPORT,RESEARCH & DEVELOPMENT,R&D,,,
HR,HR,HR,,,
IT,INFRASTRUCTURE,INFRA,,,
SUPP,MOTORPOOL,MPL,,,
CONSTRUCTION,OCCUPANCY,OCCUPANCY,,,
MKTG,PAGIBIG,C5,,,
CONSTRUCTION,PLANNING & DESIGN GROUP,PDG,,,
SUPP,PLD,PLD,,,
CONSTRUCTION,PPIC,PPIC,,,
SUPP,PURCHASING,PURCH,,,
CONSTRUCTION,RESEARCH & DEVELOPMENT,R&D,,,
MKTG,RESERVATION,C1,,,
MKTG,SALES,C4,,,
CONSTRUCTION,SDP,SDP,,,
SUPP,SHAD,SHAD,,,
CONSTRUCTION,SITE,SITE,,,
CONSTRUCTION,START,START,,,
SUPP,SURVEY ACQUISITION,SURVEY ACQ,,,
CONSTRUCTION,SURVEY IMPLEMENTATION,SURVEY IMP,,,
IT,SYSTEM DEVELOPMENT,SYSTEM DEV,,,
MKTG,TITLING,C3,,,
SUPP,TITLING,C3,,,
CONSTRUCTION,W&A,W&A,,,
CONSTRUCTION,WAD,WAD,,,
SUPP,WMD,WMD,,,
IT,IT,IT,,,
LEGAL,LEGAL,LEGAL,,,
MKTG,SALES & MARKETING,SALES & MARKETING,,,
FINANCE,FINANCE,FINANCE,,,
OFFICER,OFFICER,OFFICER,,,
